Year,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types,# of papers,Verification,"Algorithms, invariants, and program logics",Code generation,OOP,Logic/semantics,Software engineering,OOP/design,Garbage collection,Parallelism,Java,Bug finding,FP,Web + JS,Information flow,Systems,Compilers,Static analysis,Concurrency,Modules and interfaces,Types
1984,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,18.0549544176,14.5377948725,4.0170507874,1.2428451154,7.7543461624,1.4388245588,0.2810544712,3.3502759091,6.1211481569,4.598486655,1.1225843967,2.1288785408,0.0320940909,1.8976550623,0.2849852575,5.8847118054,9.1330253216,16.0881475303,1.7212767625,10.1790146709
1985,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,15.6980017382,15.1950459758,0.5935020423,0.7320575581,4.0165407545,0.8109430477,3.5204039256,1.8797713882,2.9788645144,0.5057147225,0.310065591,9.084038577,0.0320940909,19.2326632408,1.2361490358,1.9516479478,5.9979514932,1.0398205911,0.0320940909,21.6581478557
1986,0,,,,,,,,,,,,,,,,,,,,,48,1.6589707896,9.2888093017,1.2052796932,3.8303452076,0.4456352817,0.5673629502,0.6217330949,12.2410268336,15.5849130319,7.8162400376,16.6157850854,1.0576022503,2.7286489624,5.0904710894,2.8426709578,1.0318902227,3.0268431857,21.9739140533,2.2042902818,1.7677828405,0,,,,,,,,,,,,,,,,,,,,,29,10.0810555052,17.4280500602,1.6196199648,0.0320940909,6.3959337679,0.7100673989,0.0320940909,0.454765008,1.8618807922,1.0598286061,2.205314399,8.8644474479,0.0320940909,8.9083009495,0.2272658294,6.396434874,7.2094900596,8.1645987945,5.819761602,12.4146465549
1987,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,32.1807029555,10.7006378139,0.7482089371,0.0320940909,14.0221120322,0.2743874677,0.4429318368,1.1170256368,9.5073184924,2.1611332734,5.0699159396,8.7432096767,0.0320940909,7.1562870238,2.0129362981,4.8739264845,0.0320940909,0.818627697,1.80694814,2.9926231732
1988,0,,,,,,,,,,,,,,,,,,,,,28,9.2229247595,0.1759706685,5.407853322,1.101709493,13.5794625095,0.0320940909,1.5139610312,0.0320940909,4.1242269303,0.5772709013,1.5257869457,5.6708220735,0.0320940909,0.3429570498,0.0320940909,2.2143316096,11.7771188192,0.6641308906,6.9427643527,13.6007855266,24,8.2749123029,0.0320940909,0.9969246674,1.6613494532,14.2124216534,0.1381240655,0.2145309882,4.3124586848,8.61520363,0.8350843283,0.7901478888,6.6232957939,0.7873915408,0.0320940909,0.2915125878,2.8467408812,7.3791809672,0.9113753211,1.3304825202,8.4398896946,23,12.0201860785,13.7018516674,1.961027877,2.8119615584,7.9323012948,0.6470625381,0.2031963649,0.6174504764,7.4192770188,1.1620362702,1.8939581996,6.339252134,0.0320940909,7.4087439125,10.4755481943,8.7233356403,7.4762726005,7.1224160026,3.6938222051,7.5653050848
1989,0,,,,,,,,,,,,,,,,,,,,,44,7.1742876426,2.7550667782,3.5563256508,2.0862394235,12.3615568325,0.0320940909,1.7685067986,3.1167891319,1.0376765362,1.5108404176,1.2143353045,3.1331735646,1.3460510979,0.1850967169,3.2761640252,2.6751090613,12.0054086768,1.7385446382,3.0412918602,8.9227781152,27,2.7585998271,1.2382249446,4.8109289242,6.1420263992,6.5052031129,0.4674132701,1.5994119236,6.9256259636,0.982407257,3.7300531066,1.441835814,9.874450792,1.3433737987,3.5139089155,0.0320940909,1.6689425995,15.8874964033,0.0320940909,2.6178495422,11.0329040049,27,23.4436710615,4.1178250696,0.0320940909,0.4096088705,9.6616534234,0.7138593432,0.6415515491,0.9508621269,1.7051680863,3.6877229787,2.2255428963,8.6599107895,1.0583613075,6.0696088804,1.1260564556,4.1411644121,5.0372242444,7.9204795299,3.888068452,8.4477445465
1990,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,0.0320940909,2.9077901738,6.8431202049,10.0678795385,0.0320940909,0.6519143887,2.6814290703,9.8472804698,0.0867583365,15.9891043987,3.1972971835,0.5202684701,2.1226280152,2.7786318202,3.6595637816,5.8582096117,2.1130288164,3.9019446195,4.6835375947,3.4173071421,29,17.1959195271,11.3210083196,0.7934868701,0.1572230557,6.6733601339,1.9354397235,0.5195225269,1.2005524207,3.9482823371,7.1219394432,3.5789052082,1.9973264539,5.7901171746,10.346827486,0.890989431,2.4069173792,2.2135603333,1.0033771652,3.8079980124,21.9115426094
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,0,,,,,,,,,,,,,,,,,,,,,61,0.5113683585,0.4241700641,0.4396963886,6.1408097129,0.0772153921,18.8090686523,4.5150256541,9.4908024546,1.3312161562,11.1750265512,1.756802762,0.403887509,3.6264994772,1.9755815651,18.8938987557,0.4050536559,0.1978474604,1.840628002,2.6760034118,1.7709519656,28,1.3744493857,0.0320940909,0.7982761905,1.9072223883,0.0320940909,7.6500422975,7.1620973881,0.0320940909,0.0320940909,2.113962941,0.2247773413,0.2456767615,3.4386227542,0.0862532325,40.4175515568,0.5830584466,0.6139036296,0.0320940909,13.7089233864,0.0851650919,28,15.6946174376,16.4919055476,0.0320940909,1.7715133178,7.0318227615,2.891470914,1.332656871,0.5587775093,4.1094814411,1.5382100199,4.9285880213,5.0013865006,0.0320940909,11.2205791621,3.3178217873,0.085802208,2.9599633285,5.7362677018,3.8547246842,8.3021044224
1993,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,26,0.2595922816,3.0479269518,0.0320940909,1.5373132485,0.0320940909,4.7035994206,8.1115113978,1.0897498819,1.664747981,19.3423498228,0.6900733601,0.0320940909,7.2404221309,0.7275713499,13.8467774485,0.298227085,0.4938037468,0.5826969587,0.9676309783,0.6339131932,38,10.4213599913,19.4395649289,0.992165804,0.0320940909,16.9915171258,0.2745135856,0.2506713209,1.6798222782,6.6108246695,2.1514681676,2.0358148485,5.6607738632,0.6584502575,7.0294330189,0.317431738,4.7371748713,5.4346480116,1.2836705424,3.8142101547,8.7999567596
1994,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,0.0320940909,0.462164253,0.0320940909,1.1668700168,0.0320940909,16.1719161647,10.1170453057,0.0320940909,1.1474941901,3.0701676712,0.0320940909,0.0320940909,3.9891977602,0.0320940909,20.1942123376,0.7273196679,0.0320940909,1.4106579216,1.3120572465,0.2456561851,37,8.6518854053,19.0725181991,6.9823303831,0.1116515522,8.9442048663,0.0320940909,0.3905622285,0.5821176823,4.3596730538,2.117527202,4.8481401528,1.269344455,1.0961083432,11.4718304546,0.0320940909,6.7311781825,6.7805620144,14.3735309219,0.2910376157,5.9359233561
1995,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,25,0.0320940909,0.5360313171,2.3666964126,2.8159714558,0.5509243018,22.6846017705,2.6468539566,0.0320940909,0.0320940909,1.2374344658,0.3894444386,0.0320940909,7.1444270547,2.9174223597,18.1126027963,0.0320940909,0.0320940909,0.0320940909,0.8387588594,0.1760539928,33,2.6816348217,12.9778555902,0.4255107915,2.9102604601,0.8847036758,0.3170259035,0.0320940909,17.6367709125,10.8282573287,9.0210475815,3.9541592977,0.2722268705,0.1931005635,9.352247906,2.0782549812,4.8412584517,3.2953077646,22.7562909745,5.829767954,2.1722877158
1996,24,1.3007947877,16.5587903091,4.5258846777,0.3245170406,19.7601211352,0.0320940909,0.2948591119,0.0320940909,0.2412048553,0.0320940909,0.0320940909,2.1514814867,0.0776622017,0.1418896663,0.7396480165,25.9379036558,24.5664799725,0.6467682522,6.4779680783,0.5175322068,31,1.5851281489,1.7539517655,0.0320940909,2.4851414535,0.0320940909,6.6676927755,0.6625030826,0.5432742539,0.5998519014,6.3767655337,1.8967818218,0.6365443185,10.8087229103,0.9113397953,7.4434526911,0.9958000416,0.0987694044,2.6253274091,1.2660172635,0.3174032591,26,0.8075525121,0.5584136136,1.0668806739,1.3319024222,0.0320940909,7.0891745895,4.7293578879,2.0598459177,0.0320940909,5.4965412777,0.413526493,0.0893151113,2.1327896424,0.0320940909,26.4230813472,0.6621602514,0.6529861442,0.7661694364,1.5030389031,0.0320940909,0,,,,,,,,,,,,,,,,,,,,
1997,26,3.7871377409,9.0540406349,1.9727896851,3.2921271262,5.7206036127,1.3471743049,0.251364161,0.0320940909,6.6063683432,0.0320940909,0.1071818417,1.0531595166,2.3249697401,0.0320940909,1.9837089238,7.9078874213,13.0906163719,0.3195099644,8.3224954655,2.8275416143,0,,,,,,,,,,,,,,,,,,,,,30,2.0434140388,1.7083531647,8.572919414,1.2713505663,1.6769985836,0.9949071694,3.3649911135,3.8036094946,5.003438211,0.6802954605,0.0320940909,1.4531358025,1.3322462909,0.0320940909,6.6236253029,8.2523753037,11.54469765,3.9349660123,4.6387570996,0.4442796245,0,,,,,,,,,,,,,,,,,,,,
1998,29,7.9841314949,1.5037175896,1.5654213479,6.8400339188,10.6495856542,2.1126993358,0.9435979533,0.217135559,1.6318122815,0.0320940909,0.0320940909,1.1017796377,1.4925193545,0.7186167047,0.0959591627,5.8673240808,13.6582985603,2.3353814265,13.2473774366,3.1295435165,28,0.4812807116,0.5619037358,0.1290519817,1.1235426197,0.3877350132,12.2388275381,2.6652234541,4.1221745326,0.0320940909,7.0633806901,3.1284264796,0.2305741592,8.2311844939,2.4891769261,23.3487920444,1.5158051752,0.3125567354,0.2627727617,2.9807602053,0.5151898979,30,0.0320940909,0.1442057118,0.0320940909,0.705336732,0.2312861198,4.3722887522,7.5070417288,0.0977474464,0.0320940909,0.5720273164,0.0320940909,0.2823159007,9.286484819,0.3962925266,20.6386175651,0.3901431401,0.0768260024,0.0320940909,1.0777971456,0.169667123,0,,,,,,,,,,,,,,,,,,,,
1999,24,7.5881103359,5.3856864563,5.1428555211,4.2640735933,27.8114924884,2.3333296671,0.81253773,0.6738598312,0.4160767581,0.5143463258,0.7247755968,1.62292518,0.9299734521,2.3259967971,0.0320940909,1.9754788005,40.4429229171,0.9151497532,1.5760808592,3.7374489972,28,2.0725502207,1.6785634045,0.878168926,1.6055772654,1.863660808,15.0005891557,2.214429223,0.2193352826,2.7844056781,4.4478745884,2.0227695205,3.1968858111,4.7765440095,0.5598720956,5.8880480513,3.1781584051,1.005206355,1.3046886939,1.0812705413,9.2918552109,25,3.9727579573,4.025527262,0.0320940909,6.1498436119,8.4850849758,6.775760246,2.0546818554,1.4485760659,12.9761163161,1.3615436198,2.8777493022,5.4177676631,5.7134192977,0.185100529,4.8324780666,0.5071977821,3.1042763077,1.2213256984,0.9019006278,4.9186805421,0,,,,,,,,,,,,,,,,,,,,
2000,25,6.1484023975,4.448441385,2.3348150538,1.4311021543,8.6393282209,0.0320940909,7.3166251237,0.1719745249,6.2291673644,0.0320940909,1.823536287,1.5761914451,3.0548903425,0.0320940909,1.0928999733,2.4085618364,33.9981787903,1.4602129714,0.7722510773,4.8390205976,42,0.6181290691,3.9259400994,1.5191188019,7.9779227776,8.4135337432,1.1569751798,0.4377188679,10.9826895626,2.5522667576,10.8147344335,5.0829144814,1.25476582,6.0138797465,1.0336330971,2.0908999395,3.5142053252,5.3460558015,1.1859755367,12.5969050703,7.2188558024,28,5.6581223181,1.0767613813,1.1298699746,0.0320940909,3.4949892307,2.2982082883,0.0320940909,1.565647448,6.0403662729,1.1417394987,0.9949011666,12.9419593015,5.160619286,4.3799456993,5.354239591,2.0952104062,1.9043301842,0.6985083942,14.9715277006,12.9921760653,29,3.3620374822,6.0316307731,8.4761679602,2.7642916862,0.0320940909,0.5464689968,0.2087480243,12.6488300825,8.0880939879,10.404613555,5.7359122127,3.7886879242,0.6881345489,21.5364693849,1.0905407545,18.813168482,11.0597065682,5.5866943548,0.4102488258,0.1624455713
2001,23,0.0320940909,2.4167193325,1.642530267,14.0498755564,0.3049123677,0.9567043577,26.0460520777,1.4675605056,0.8622741525,0.0320940909,0.1577952041,0.0320940909,5.1387150113,0.8865784678,2.2874238334,0.9011673002,0.0320940909,0.0320940909,0.0320940909,0.7657914472,26,1.6341737117,4.453939522,3.5039356438,4.154275198,0.4155468965,4.6246153196,2.5755886664,10.0299949602,15.7118689884,20.603285581,3.0425749263,0.0320940909,2.8274346676,9.4596661871,1.0740646779,2.9904434469,1.4767139761,12.0200654612,3.3999508603,1.2654951899,26,0.0320940909,0.2082150139,0.0320940909,1.0922214339,0.0320940909,35.1774457963,4.8452313753,0.0320940909,0.0320940909,0.0320940909,0.4944550515,0.2566005627,11.0513315001,2.4934507354,13.5420161442,0.1383682881,0.6560075938,0.0320940909,0.0320940909,0.3913240571,23,1.1894755071,6.2225713666,18.1713395041,2.2914654033,0.0320940909,0.0320940909,1.0799155435,12.2753811656,0.4743550432,12.7048906501,0.9915097692,4.3769692991,0.0320940909,4.0881428844,0.0320940909,8.5792433886,13.0839958127,2.1485251835,0.8379183747,2.2151978629
2002,26,0.0320940909,0.1605963964,2.4382491051,19.1091472128,0.6394902777,0.323027728,24.4595692825,7.7388342827,0.7117025443,0.7928729282,0.0320940909,0.0320940909,2.914961728,0.0320940909,1.891320902,0.1954240068,0.8433499148,0.2106033303,1.2187746693,3.4809657606,47,4.451239588,3.9341378335,12.7313264441,10.785781582,5.2086890975,0.4298494605,1.4704114634,8.3894844068,3.2764033165,8.0705200519,3.7727332541,1.2863955351,2.7096331259,1.171026731,6.0042691496,3.7248358825,6.618707898,1.6106077247,4.2287215676,6.9798736625,27,0.0320940909,0.5607057152,1.0392277277,3.0727492057,0.1955288333,6.4873305179,3.0863645062,0.0320940909,0.1892372624,0.8933994195,0.0320940909,0.0320940909,7.2513285565,1.6529335422,15.4962749281,0.8011449437,0.249701061,0.7759378707,0.8650530326,0.0817735167,29,1.2605429511,7.6785156299,8.4412662767,0.7299051769,0.0899284296,0.5616372167,1.1484599588,23.5511940983,4.967313403,8.4910558841,3.8170464527,3.3528846446,0.0320940909,4.1267369443,1.7881471305,11.1791868564,11.0227963201,3.9138133226,0.4876172537,2.17415357
2003,26,1.3895004376,0.0320940909,5.137643411,14.8364059347,0.6266953436,0.0320940909,28.6923396803,3.3312401173,2.4833340352,0.6572432218,0.2113985036,0.6315909288,4.6859059913,0.1524038679,1.89529164,0.8964480021,0.0320940909,0.2951628507,0.9648916223,0.2734885726,94,1.0266494087,0.7623005285,29.3818614999,1.7098010464,1.1418589956,0.28116056,1.1499928369,7.4881358878,4.3495272985,2.2125653327,2.6989974775,1.8428266301,0.4035303874,1.9974634622,0.5645713118,11.7782773937,12.5073792912,2.1313218758,5.48906043,1.2884299506,27,0.0320940909,3.1996635365,2.6059336517,2.0196483563,0.9217371267,8.4251137034,5.9923478297,0.2591417751,0.6885701176,0.9538050272,1.1696563224,0.0320940909,18.2500135155,0.7582752003,11.2041754715,3.7867918672,0.6821617737,0.4337423597,4.7303497008,0.3484181527,24,1.1947515364,4.3804061096,29.7430077407,0.5908876331,0.0320940909,0.5976165845,2.0083954379,3.814511493,2.2121067366,6.0725197153,2.9466179519,3.0270246703,0.0320940909,11.0353492015,2.2137465646,5.7085547873,3.8967401123,9.9715253057,1.4802637817,1.6836682735
2004,23,0.6048250475,0.1935928403,0.0320940909,17.5879488915,0.8725174508,0.4983610647,30.3186543243,0.2357171577,0.4048176614,0.2346618413,0.0320940909,0.0320940909,1.5827548925,0.0320940909,1.1427528992,1.0385430343,0.0962717175,0.1024688281,2.1761613454,2.5104129798,26,0.1966296568,1.1071628695,23.9966292407,0.2587291082,1.3497240325,0.1791892924,0.1008722542,7.9844923598,12.6759890232,2.0301234739,0.0320940909,0.0320940909,0.0320940909,1.1220901923,1.5029403991,11.169345386,10.3812589542,2.5788299662,0.0320940909,1.0718069374,25,1.397969452,0.0320940909,1.1843517661,1.3135294722,0.0320940909,13.0509991806,0.9939055048,4.3260983745,1.4550740906,4.3036641701,2.1570284617,0.0320940909,5.3423241831,6.6539712358,21.5084997765,1.6024481903,0.35534716,0.0320940909,2.9012715937,0.9270228423,28,2.6276934933,2.0150189417,20.0419343881,0.1126989817,0.7022185032,0.0320940909,0.259916161,12.8329624851,4.3877566958,6.8225309173,3.8631756593,0.0320940909,0.0320940909,12.9108467521,1.8376349619,15.4911577763,11.1317459651,6.5157919592,1.1415447301,2.2795426026
2005,28,1.0550417674,0.0911204371,0.0320940909,7.0574044077,0.0320940909,0.7094512784,36.1929950491,3.6389432465,1.3656521922,0.1093604299,0.0320940909,0.0320940909,5.261911904,0.1471684003,1.7094950321,0.1422279959,0.3986064799,0.1018286983,0.3346740997,2.9833383216,110,0.4938876547,3.0976423738,22.8660015093,2.0316366898,2.4559976497,0.304483205,2.0385295327,6.7137933342,4.2069028581,0.318654317,4.2274408053,2.1611395159,0.9902733214,0.3634836819,0.1685334968,10.558274645,14.557237744,2.1261487338,2.2155191471,2.1735743297,28,8.8903647276,1.907685407,4.9617515843,1.6070121074,18.9986324566,1.8682142272,2.4965066057,3.1874531735,2.9058719254,1.502523364,0.4097226451,2.4176654695,0.0320940909,0.3906804219,6.9261861732,0.6675109432,7.51934779,1.1508508662,0.7726611081,8.2791467315,30,1.5945540952,3.2295959958,22.7010245647,1.5608346687,0.3273493022,0.4919784619,0.6821033795,11.6173025972,13.7234435393,2.7727295426,11.0138639435,0.4884650792,0.9062777722,4.9009462396,2.4123818563,8.8835447323,6.7739094153,9.4519479194,3.6769428434,1.4993525363
2006,25,6.1336068929,0.0320940909,0.0859218302,6.4595334526,0.1544436335,10.3227628451,57.3194926517,2.9947925712,0.1092204201,0.2807983793,0.1702446254,0.0320940909,2.241369071,0.0320940909,0.4779214563,0.0993911681,0.1726087796,0.2079242395,0.0320940909,0.1234734378,126,8.7519399762,4.0881482247,3.228536067,3.3874540999,12.876578075,0.5219701272,1.8374184114,0.4251444629,3.091813456,0.5656151351,0.7650642151,1.6579926523,1.0514513326,0.6026372452,0.6747091366,3.818355177,4.2896936976,1.6056981103,6.1554472734,7.0160562123,35,3.6490273256,1.1861557634,6.4802112849,4.382926528,18.4079875831,0.0650178379,1.7967543209,0.0320940909,2.5746203823,1.0281886868,0.2081288932,1.1214001165,0.0320940909,1.1843490969,0.3207937152,4.4417501122,13.6975983408,0.0320940909,1.3323599351,14.4683296226,34,1.1732132966,4.9602807192,9.3976925361,1.631371206,0.0320940909,1.6740153473,0.9841360923,7.4088560797,21.0794404191,5.9066145192,7.9578066225,1.3095195713,2.5018026515,3.5557383751,1.3099089878,8.9653373227,1.7345902785,16.8099086927,7.3218316018,3.2218410547
2007,33,0.408606286,0.707702042,0.0320940909,20.6128159406,0.4635196549,6.1128890816,36.6967854977,0.0320940909,1.141707515,0.0320940909,0.442681608,0.1015792448,5.8970409014,0.0320940909,8.4856510688,0.411342517,1.915677148,0.1573521441,0.0320940909,0.3200001074,116,4.162885134,3.6849851326,1.8886884578,5.0914379709,11.6342626834,2.011203211,2.2788776049,3.0647442731,10.5354277376,6.2691436303,3.2958839832,3.1276287462,2.6623076474,3.1874415701,1.3215099612,5.9827571452,12.0286466557,6.1173027148,7.6293105969,12.4001955824,44,2.5552126302,0.1245641262,0.1536843607,1.8395592962,3.7180882886,16.0839569301,2.7346683967,2.3272732283,1.1486682002,2.0965308442,0.468175581,1.984646601,11.6147685309,0.2702815457,25.6242807784,0.5678460261,0.3497921784,0.1464137939,2.5685053954,2.7876923586,38,3.8673929538,8.6141155434,3.5183308031,2.165442861,3.2130072986,0.0320940909,0.4866901735,13.7033143436,18.0093404093,2.3567884748,5.1798420903,1.4036400615,0.0320940909,10.8481826634,1.7668635682,4.8822958819,5.0382160745,19.9818047424,4.0130543368,1.0820029349
2008,38,0.5620093863,1.5827926938,4.2230143101,13.7708192294,0.3978967945,1.2992672172,13.8296136166,1.4740662359,3.8995448964,9.0328736944,0.6180411784,0.0320940909,1.5211959874,0.8260334088,14.8852377365,1.6628363557,2.6247493489,0.2561937389,1.512585304,2.3941744885,35,5.7210464271,2.7429998146,0.8875707711,0.7260543915,12.8943984452,0.0320940909,0.5912337597,1.8238922505,1.4330213944,3.3136438877,0.0320940909,11.6031145146,3.699149631,0.2100664856,0.5448009103,3.2342339661,2.1856767651,0.1035382832,5.7237449736,15.1109355363,33,0.0320940909,1.3790072479,0.0320940909,14.9436922484,0.6273661255,11.889485029,6.0537805698,3.6552886239,1.3871036843,6.0047959054,2.615890122,0.0834627435,1.3544375092,0.0320940909,20.3538176607,0.0320940909,0.3144833677,1.6527967932,1.7317679039,0.6481481016,37,4.4878415931,9.7938298967,8.9789901704,0.4334231847,2.2579601344,0.4707518066,0.0320940909,11.8458709698,2.4879971428,6.4543139677,1.6888985035,1.5668264437,2.0015235055,4.7152465622,0.7504856853,8.2138355198,4.0796404015,20.8681298173,0.7415342861,5.82674219
