Topic,Fulltext Rank,Abstract Rank,Title
1,7,40,"Complete functional synthesis - Viktor Kuncak, Mikaël Mayer, Ruzica Piskac, Philippe Suter (PLDI 2010)"
1,28,22,"Static prediction of heap space usage for first-order functional programs - Martin Hofmann, Steffen Jost (POPL 2003)"
1,30,26,"Automatic verification of pointer programs using monadic second-order logic - Jakob L. Jensen, Michael E. Jørgensen, Michael I. Schwartzbach, Nils Klarlund (PLDI 1997)"
1,36,21,"Modular reasoning about heap paths via effectively propositional formulas - Shachar Itzhaky, Anindya Banerjee, Neil Immerman, Ori Lahav, Aleksandar Nanevski, Mooly Sagiv (POPL 2014)"
1,31,27,"Graph types - Nils Klarlund, Michael I. Schwartzbach (POPL 1993)"
1,26,36,"Complete instantiation-based interpolation - Nishant Totla, Thomas Wies (POPL 2013)"
1,38,33,"SPEED: precise and efficient static estimation of program computational complexity - Sumit Gulwani, Krishna K. Mehra, Trishul Chilimbi (POPL 2009)"
1,24,49,"Shape analysis with inductive recursion synthesis - Bolei Guo, Neil Vachharajani, David I. August (PLDI 2007)"
2,5,46,"Local rely-guarantee reasoning - Xinyu Feng (POPL 2009)"
2,22,38,"Local reasoning about a copying garbage collector - Lars Birkedal, Noah Torp-Smith, John C. Reynolds (POPL 2004)"
2,32,43,"The evolution of list-copying algorithms and the need for structured program verification - Stanley Lee, Willem P. deRoever, Susan L. Gerhart (POPL 1979)"
2,49,28,"Proving that non-blocking algorithms don't block - Alexey Gotsman, Byron Cook, Matthew Parkinson, Viktor Vafeiadis (POPL 2009)"
3,1,2,"Automatically generating instruction selectors using declarative machine descriptions - João Dias, Norman Ramsey (POPL 2010)"
3,3,3,"Language-independent sandboxing of just-in-time compilation and self-modifying code - Jason Ansel, Petr Marchenko, Úlfar Erlingsson, Elijah Taylor, Brad Chen, Derek L. Schuff, David Sehr, Cliff L. Biffle, Bennet Yee (PLDI 2011)"
3,10,5,"Resourceable, retargetable, modular instruction selection using a machine-independent, type-based tiling of low-level intermediate code - Norman Ramsey, João Dias (POPL 2011)"
3,16,0,"Relocating machine instructions by currying - Norman Ramsey (PLDI 1996)"
3,14,11,"RockSalt: better, faster, stronger SFI for the x86 - Greg Morrisett, Gang Tan, Joseph Tassarotti, Jean-Baptiste Tristan, Edward Gan (PLDI 2012)"
3,22,6,"CakeML: a verified implementation of ML - Ramana Kumar, Magnus O. Myreen, Michael Norrish, Scott Owens (POPL 2014)"
3,5,28,"Verified just-in-time compiler on x86 - Magnus O. Myreen (POPL 2010)"
3,19,15,"Efficient and language-independent mobile programs - Ali-Reza Adl-Tabatabai, Geoff Langdale, Steven Lucco, Robert Wahbe (PLDI 1996)"
3,29,8,"Bytecode compression via profiled grammar rewriting - William S. Evans, Christopher W. Fraser (PLDI 2001)"
3,31,27,"Split-stream dictionary program compression - Steven Lucco (PLDI 2000)"
3,30,31,"The semantics of x86-CC multiprocessor machine code - Susmit Sarkar, Peter Sewell, Francesco Zappa Nardelli, Scott Owens, Tom Ridge, Thomas Braibant, Magnus O. Myreen, Jade Alglave (POPL 2009)"
3,25,38,"Denali: a goal-directed superoptimizer - Rajeev Joshi, Greg Nelson, Keith Randall (PLDI 2002)"
3,46,34,"Fast, effective code generation in a just-in-time Java compiler - Ali-Reza Adl-Tabatabai, Michał Cierniak, Guei-Yuan Lueh, Vishesh M. Parikh, James M. Stichnoth (PLDI 1998)"
3,44,49,"Safety checking of machine code - Zhichen Xu, Barton P. Miller, Thomas Reps (PLDI 2000)"
4,3,0,"Software pipelining showdown: optimal vs. heuristic methods in a production compiler - John Ruttenberg, G. R. Gao, A. Stoutchinin, W. Lichtenstein (PLDI 1996)"
4,4,9,"A general constraint-centric scheduling framework for spatial architectures - Tony Nowatzki, Michael Sartin-Tarm, Lorenzo De Carli, Karthikeyan Sankaralingam, Cristian Estan, Behnam Robatmili (PLDI 2013)"
4,2,14,"A reduced multipipeline machine description that preserves scheduling constraints - Alexandre E. Eichenberger, Edward S. Davidson (PLDI 1996)"
4,7,11,"Automatic instruction scheduler retargeting by reverse-engineering - Matthew J. Bridges, Neil Vachharajani, Guilherme Ottoni, David I. August (PLDI 2006)"
4,12,6,"Optimal instruction scheduling using integer programming - Kent Wilken, Jack Liu, Mark Heffernan (PLDI 2000)"
4,13,10,"Software pipelining: an effective scheduling technique for VLIW machines - M. Lam (PLDI 1988)"
4,17,8,"Improving balanced scheduling with compiler optimizations that increase instruction-level parallelism - Jack L. Lo, Susan J. Eggers (PLDI 1995)"
4,11,16,"Balanced scheduling: instruction scheduling when memory latency is uncertain - Daniel R. Kerns, Susan J. Eggers (PLDI 1993)"
4,27,3,"Scheduling time-critical instructions on RISC machines - Krishna Palem, Barbara Simons (POPL 1990)"
4,0,34,"Register allocation for software pipelined loops - B. R. Rau, M. Lee, P. P. Tirumalai, M. S. Schlansker (PLDI 1992)"
4,15,20,"Efficient formulation for optimal modulo schedulers - Alexandre E. Eichenberger, Edward S. Davidson (PLDI 1997)"
4,8,28,"Scheduling and mapping: software pipelining in the presence of structural hazards - Erik R. Altman, R. Govindarajan, Guang R. Gao (PLDI 1995)"
4,9,31,"Improved spill code generation for software pipelined loops - Javier Zalamea, Josep Llosa, Eduard Ayguadé, Mateo Valero (PLDI 2000)"
4,5,35,"Region-based hierarchical operation partitioning for multicluster processors - Michael Chu, Kevin Fan, Scott Mahlke (PLDI 2003)"
4,32,17,"Inducing heuristics to decide whether to schedule - John Cavazos, J. Eliot B. Moss (PLDI 2004)"
4,14,36,"Lifetime-sensitive modulo scheduling - Richard A. Huff (PLDI 1993)"
4,30,24,"Automatically partitioning packet processing applications for pipelined architectures - Jinquan Dai, Bo Huang, Long Li, Luddy Harrison (PLDI 2005)"
4,43,15,"Compiler optimizations for asynchronous systolic array programs - M. Lam (POPL 1988)"
4,16,46,"A novel framework of register allocation for software pipelining - Qi Ning, Guang R. Gao (POPL 1993)"
4,39,25,"Code generation and reorganization in the presence of pipeline constraints - John L. Hennessy, Thomas R. Gross (POPL 1982)"
4,22,45,"Separation constraint partitioning: a new algorithm for partitioning non-strict programs into sequential threads - Klaus E. Schauser, David E. Culler, Seth C. Goldstein (POPL 1995)"
4,36,32,"A simple, verified validator for software pipelining - Jean-Baptiste Tristan, Xavier Leroy (POPL 2010)"
4,42,38,"VLIW compilation techniques in a superscalar environment - Kemal Ebcioglu, Randy D. Groves, Ki-Chang Kim, Gabriel M. Silberman, Isaac Ziv (PLDI 1994)"
5,18,1,"Fair stateless model checking - Madanlal Musuvathi, Shaz Qadeer (PLDI 2008)"
5,40,2,"Sigma*: symbolic learning of input-output specifications - Matko Botinčan, Domagoj Babić (POPL 2013)"
5,20,25,"Predicate abstraction and refinement for verifying multi-threaded programs - Ashutosh Gupta, Corneliu Popeea, Andrey Rybalchenko (POPL 2011)"
5,26,27,"Abstraction-guided synthesis of synchronization - Martin Vechev, Eran Yahav, Greta Yorsh (POPL 2010)"
5,34,26,"Bridging boolean and quantitative synthesis using smoothed proof search - Swarat Chaudhuri, Martin Clochard, Armando Solar-Lezama (POPL 2014)"
5,28,33,"Proof-guided underapproximation-widening for multi-process systems - Orna Grumberg, Flavio Lerda, Ofer Strichman, Michael Theobald (POPL 2005)"
5,44,35,"Partial-coherence abstractions for relaxed memory models - Michael Kuperstein, Martin Vechev, Eran Yahav (PLDI 2011)"
6,8,10,"Language-based control and mitigation of timing channels - Danfeng Zhang, Aslan Askarov, Andrew C. Myers (PLDI 2012)"
6,19,5,"Caisson: a hardware description language for secure information flow - Xun Li, Mohit Tiwari, Jason K. Oberg, Vineeth Kashyap, Frederic T. Chong, Timothy Sherwood, Ben Hardekopf (PLDI 2011)"
6,37,7,"Transforming out timing leaks - Johan Agat (POPL 2000)"
7,5,6,"Communication optimization and code generation for distributed memory machines - Saman P. Amarasinghe, Monica S. Lam (PLDI 1993)"
7,8,7,"Sub-polyhedral scheduling using (unit-)two-variable-per-inequality polyhedra - Ramakrishna Upadrasta, Albert Cohen (POPL 2013)"
7,6,9,"Loop transformations: convexity, pruning and optimization - Louis-Noël Pouchet, Uday Bondhugula, Cédric Bastoul, Albert Cohen, J. Ramanujam, P. Sadayappan, Nicolas Vasilache (POPL 2011)"
7,12,5,"On Characterizing the Data Access Complexity of Programs - Venmugil Elango, Fabrice Rastello, Louis-Noël Pouchet, J. Ramanujam, P. Sadayappan (POPL 2015)"
7,18,1,"Iterative optimization in the polyhedral model: part ii, multidimensional time - Louis-Noël Pouchet, Cédric Bastoul, Albert Cohen, John Cavazos (PLDI 2008)"
7,4,16,"A practical automatic polyhedral parallelizer and locality optimizer - Uday Bondhugula, Albert Hartono, J. Ramanujam, P. Sadayappan (PLDI 2008)"
7,10,11,"A framework for enhancing data reuse via associative reordering - Kevin Stock, Martin Kong, Tobias Grosser, Louis-Noël Pouchet, Fabrice Rastello, J. Ramanujam, P. Sadayappan (PLDI 2014)"
7,21,8,"Polyhedra scanning revisited - Chun Chen (PLDI 2012)"
7,30,3,"Linear analysis and optimization of stream programs - Andrew A. Lamb, William Thies, Saman Amarasinghe (PLDI 2003)"
7,31,4,"A unified framework for schedule and storage optimization - William Thies, Frédéric Vivien, Jeffrey Sheldon, Saman Amarasinghe (PLDI 2001)"
7,22,14,"Compile-time composition of run-time data and iteration reorderings - Michelle Mills Strout, Larry Carter, Jeanne Ferrante (PLDI 2003)"
7,23,15,"A compiler approach to fast hardware design space exploration in FPGA-based systems - Byoungro So, Mary W. Hall, Pedro C. Diniz (PLDI 2002)"
7,32,10,"Space-time trade-off optimization for a class of electronic structure calculations - Daniel Cociorva, Gerald Baumgartner, Chi-Chung Lam, P. Sadayappan, J. Ramanujam, Marcel Nooijen, David E. Bernholdt, Robert Harrison (PLDI 2002)"
7,25,25,"A general framework for iteration-reordering loop transformations - Vivek Sarkar, Radhika Thekkath (PLDI 1992)"
7,13,37,"Data-centric multi-level blocking - Induprakas Kodukula, Nawaaz Ahmed, Keshav Pingali (PLDI 1997)"
7,43,13,"Unifying data and control transformations for distributed shared-memory machines - Michał Cierniak, Wei Li (PLDI 1995)"
7,35,33,"A compiler technique for improving whole-program locality - Mahmut Taylan Kandemir (POPL 2001)"
7,36,35,"Simplifying reductions - Gautam, S. Rajopadhye (POPL 2006)"
8,6,11,"Para-functional programming: a paradigm for programming multiprocessor systems - Paul Hudak, Lauren Smith (POPL 1986)"
8,2,28,"Quipper: a scalable quantum programming language - Alexander S. Green, Peter LeFanu Lumsdaine, Neil J. Ross, Peter Selinger, Benoît Valiron (PLDI 2013)"
8,22,10,"Reconfigurable asynchronous logic automata: (RALA) - Neil Gershenfeld, David Dalrymple, Kailiang Chen, Ara Knaian, Forrest Green, Erik D. Demaine, Scott Greenwald, Peter Schmidt-Nielsen (POPL 2010)"
8,42,2,"Systems biology, models, and concurrency - Walter Fontana (POPL 2008)"
8,19,33,"A mechanically certified theorem about optimal concurrency of sorting networks - Christian Lengauer, Chua-Huang Huang (POPL 1986)"
8,13,49,"Matchmaker: an interface specification language for distributed processing - Michael B. Jones, Richard F. Rashid, Mary R. Thompson (POPL 1985)"
8,49,27,"Engineering mathematics: the odd order theorem proof - Georges Gonthier (POPL 2013)"
8,30,47,"Message of thanks: on the receipt of the 2011 ACM SIGPLAN distinguished achievement award - Tony Hoare (POPL 2012)"
9,0,3,"Backpack: retrofitting Haskell with interfaces - Scott Kilpatrick, Derek Dreyer, Simon Peyton Jones, Simon Marlow (POPL 2014)"
9,1,2,"A type system for borrowing permissions - Karl Naden, Robert Bocchino, Jonathan Aldrich, Kevin Bierhoff (POPL 2012)"
9,6,15,"Permission-based ownership: encapsulating state in higher-order typed languages - Neel Krishnaswami, Jonathan Aldrich (PLDI 2005)"
9,23,7,"Rely-guarantee references for refinement types over aliased mutable data - Colin S. Gordon, Michael D. Ernst, Dan Grossman (PLDI 2013)"
9,10,20,"Units: cool modules for HOT languages - Matthew Flatt, Matthias Felleisen (PLDI 1998)"
9,17,21,"Practical affine types - Jesse A. Tov, Riccardo Pucella (POPL 2011)"
9,30,10,"The design of a class mechanism for Moby - Kathleen Fisher, John Reppy (PLDI 1999)"
9,33,9,"Composing security policies with polymer - Lujo Bauer, Jay Ligatti, David Walker (PLDI 2005)"
9,16,27,"Ownership types for object encapsulation - Chandrasekhar Boyapati, Barbara Liskov, Liuba Shrira (POPL 2003)"
9,14,30,"A type system for higher-order modules - Derek Dreyer, Karl Crary, Robert Harper (POPL 2003)"
9,13,35,"A language for automatically enforcing privacy policies - Jean Yang, Kuat Yessenov, Armando Solar-Lezama (POPL 2012)"
9,2,47,"Protecting representation with effect encapsulation - Yi Lu, John Potter (POPL 2006)"
9,19,37,"Paralocks: role-based information flow control and beyond - Niklas Broberg, David Sands (POPL 2010)"
9,49,8,"What is a recursive module? - Karl Crary, Robert Harper, Sidd Puri (PLDI 1999)"
9,29,36,"A type system for expressive security policies - David Walker (POPL 2000)"
9,48,32,"A very modal model of a modern, major, general type system - Andrew W. Appel, Paul-André Melliès, Christopher D. Richards, Jérôme Vouillon (POPL 2007)"
9,37,48,"Lazy functional state threads - John Launchbury, Simon L. Peyton Jones (PLDI 1994)"
9,43,49,"A typed store-passing translation for general references - François Pottier (POPL 2011)"
10,0,9,"Sharing classes between families - Xin Qi, Andrew C. Myers (PLDI 2009)"
10,4,8,"Masked types for sound object initialization - Xin Qi, Andrew C. Myers (POPL 2009)"
10,13,6,"Safe type checking in a statically-typed object-oriented programming language - Kim B. Bruce (POPL 1993)"
10,7,15,"Environmental acquisition revisited - Richard Cobbe, Matthias Felleisen (POPL 2005)"
10,3,26,"Formal verification of object layout for c++ multiple inheritance - Tahina Ramananandro, Gabriel Dos Reis, Xavier Leroy (POPL 2011)"
10,25,5,"Expressive and safe static reflection with MorphJ - Shan Shan Huang, Yannis Smaragdakis (PLDI 2008)"
10,31,1,"Automatic inference of stationary fields: a generalization of java's final fields - Christopher Unkel, Monica S. Lam (POPL 2008)"
10,30,2,"Separation logic, abstraction and inheritance - Matthew J. Parkinson, Gavin M. Bierman (POPL 2008)"
10,5,34,"A mechanized semantics for C++ object construction and destruction, with applications to resource management - Tahina Ramananandro, Gabriel Dos Reis, Xavier Leroy (POPL 2012)"
10,28,14,"Extensions for multi-module records in conventional programming languages - D. R. Cheriton, M. E. Wolf (POPL 1987)"
10,1,42,"A virtual class calculus - Erik Ernst, Klaus Ostermann, William R. Cook (POPL 2006)"
10,27,21,"Getting F-bounded polymorphism into shape - Ben Greenman, Fabian Muehlboeck, Ross Tate (PLDI 2014)"
10,45,4,"Two-directional record layout for multiple inheritance - William Pugh, Grant Weddell (PLDI 1990)"
10,22,29,"Simple objects for Standard ML - John Reppy, Jon Riecke (PLDI 1996)"
10,12,43,"Enhancing modular OO verification with separation logic - Wei-Ngan Chin, Cristina David, Huu Hai Nguyen, Shengchao Qin (POPL 2008)"
10,24,32,"Inheritance is not subtyping - William R. Cook, Walter Hill, Peter S. Canning (POPL 1990)"
10,9,49,"Typing a multi-language intermediate code - Andrew D. Gordon, Don Syme (POPL 2001)"
10,14,47,"Design and implementation of generics for the .NET Common language runtime - Andrew Kennedy, Don Syme (PLDI 2001)"
10,29,33,"A member lookup algorithm for C++ - G. Ramalingam, Harini Srinivasan (PLDI 1997)"
10,16,48,"A simple typed intermediate language for object-oriented languages - Juan Chen, David Tarditi (POPL 2005)"
10,46,23,"Modular session types for distributed object-oriented programming - Simon J. Gay, Vasco T. Vasconcelos, António Ravara, Nils Gesbert, Alexandre Z. Caldeira (POPL 2010)"
10,40,36,"Toward a typed foundation for method specialization and inheritance - John C. Mitchell (POPL 1990)"
10,47,30,"Automatic inline allocation of objects - Julian Dolby (PLDI 1997)"
10,43,45,"Region inference for an object-oriented language - Wei-Ngan Chin, Florin Craciun, Shengchao Qin, Martin Rinard (PLDI 2004)"
11,0,4,"Automatic runtime error repair and containment via recovery shepherding - Fan Long, Stelios Sidiroglou-Douskos, Martin Rinard (PLDI 2014)"
11,1,9,"Sound input filter generation for integer overflow errors - Fan Long, Stelios Sidiroglou-Douskos, Deokhwan Kim, Martin Rinard (POPL 2014)"
11,12,6,"Automatic detection of floating-point exceptions - Earl T. Barr, Thanh Vo, Vu Le, Zhendong Su (POPL 2013)"
11,6,12,"Exterminator: automatically correcting memory errors with high probability - Gene Novark, Emery D. Berger, Benjamin G. Zorn (PLDI 2007)"
11,13,7,"TraceBack: first fault diagnosis by reconstruction of distributed control flow - Andrew Ayers, Richard Schooler, Chris Metcalf, Anant Agarwal, Junghwan Rhee, Emmett Witchel (PLDI 2005)"
11,3,21,"Error propagation analysis for file systems - Cindy Rubio-González, Haryadi S. Gunawi, Ben Liblit, Remzi H. Arpaci-Dusseau, Andrea C. Arpaci-Dusseau (PLDI 2009)"
11,18,14,"Compiler-assisted detection of transient memory errors - Sanket Tavarageri, Sriram Krishnamoorthy, P. Sadayappan (PLDI 2014)"
11,20,13,"DieHard: probabilistic memory safety for unsafe languages - Emery D. Berger, Benjamin G. Zorn (PLDI 2006)"
11,34,1,"A dynamic program analysis to find floating-point accuracy problems - Florian Benz, Andreas Hildebrandt, Sebastian Hack (PLDI 2012)"
11,28,11,"Grammar-based whitebox fuzzing - Patrice Godefroid, Adam Kiezun, Michael Y. Levin (PLDI 2008)"
11,49,2,"Improved error reporting for software that uses black-box components - Jungwoo Ha, Christopher J. Rossbach, Jason V. Davis, Indrajit Roy, Hany E. Ramadan, Donald E. Porter, David L. Chen, Emmett Witchel (PLDI 2007)"
11,9,44,"Cruiser: concurrent heap buffer overflow monitoring using lock-free data structures - Qiang Zeng, Dinghao Wu, Peng Liu (PLDI 2011)"
11,30,29,"Copy-on-write in the PHP language - Akihiko Tozawa, Michiaki Tatsubori, Tamiya Onodera, Yasuhiko Minamide (POPL 2009)"
11,46,17,"A practical flow-sensitive and context-sensitive C and C++ memory leak detector - David L. Heine, Monica S. Lam (PLDI 2003)"
11,17,46,"Static detection of dynamic memory errors - David Evans (PLDI 1996)"
11,39,48,"Efficient detection of all pointer and array access errors - Todd M. Austin, Scott E. Breach, Gurindar S. Sohi (PLDI 1994)"
12,6,2,"Implementation of an array bound checker - Norihisa Suzuki, Kiyoshi Ishihata (POPL 1977)"
12,16,7,"SPEED: precise and efficient static estimation of program computational complexity - Sumit Gulwani, Krishna K. Mehra, Trishul Chilimbi (POPL 2009)"
12,24,1,"Theoretical and empirical studies on using program mutation to test the functional correctness of programs - Timothy A. Budd, Richard A. DeMillo, Richard J. Lipton, Frederick G. Sayward (POPL 1980)"
12,19,11,"An algorithm for structuring programs (Extended Abstract) - Brenda S. Baker (POPL 1976)"
12,23,9,"Control-flow refinement and progress invariants for bound analysis - Sumit Gulwani, Sagar Jain, Eric Koskinen (PLDI 2009)"
12,8,36,"Correctness-preserving program transformations - Susan L. Gerhart (POPL 1975)"
12,37,38,"The evolution of list-copying algorithms and the need for structured program verification - Stanley Lee, Willem P. deRoever, Susan L. Gerhart (POPL 1979)"
12,40,43,"Eliminating array bound checking through dependent types - Hongwei Xi, Frank Pfenning (PLDI 1998)"
13,8,8,"Qualified data flow problems - L. Howard Holley, Barry K. Rosen (POPL 1980)"
13,20,5,"From dirt to shovels: fully automatic tool generation from ad hoc data - Kathleen Fisher, David Walker, Kenny Q. Zhu, Peter White (POPL 2008)"
13,22,23,"Structural semantics for polymorphic data types (preliminary report) - Daniel Leivant (POPL 1983)"
13,12,34,"A flexible approach to interprocedural data flow analysis and programs with recursive data structures - Neil D. Jones, Steven S. Muchnick (POPL 1982)"
13,47,22,"Demand-driven computation of interprocedural data flow - Evelyn Duesterwald, Rajiv Gupta, Mary Lou Soffa (POPL 1995)"
14,0,1,"Feedback-directed barrier optimization in a strongly isolated STM - Nathan G. Bronson, Christos Kozyrakis, Kunle Olukotun (POPL 2009)"
14,8,0,"Lock elision for read-only critical sections in Java - Takuya Nakaike, Maged M. Michael (PLDI 2010)"
14,4,7,"Enforcing isolation and ordering in STM - Tatiana Shpeisman, Vijay Menon, Ali-Reza Adl-Tabatabai, Steven Balensiefer, Dan Grossman, Richard L. Hudson, Katherine F. Moore, Bratin Saha (PLDI 2007)"
14,6,6,"Autolocker: synchronization inference for atomic sections - Bill McCloskey, Feng Zhou, David Gay, Eric Brewer (POPL 2006)"
14,2,11,"Compiler and runtime support for efficient software transactional memory - Ali-Reza Adl-Tabatabai, Brian T. Lewis, Vijay Menon, Brian R. Murphy, Bratin Saha, Tatiana Shpeisman (PLDI 2006)"
14,5,9,"Optimizing memory transactions - Tim Harris, Mark Plesko, Avraham Shinnar, David Tarditi (PLDI 2006)"
14,1,13,"The Atomos transactional programming language - Brian D. Carlstrom, Austen McDonald, Hassan Chafi, JaeWoong Chung, Chi Cao Minh, Christos Kozyrakis, Kunle Olukotun (PLDI 2006)"
14,7,8,"Stretching transactional memory - Aleksandar Dragojević, Rachid Guerraoui, Michal Kapalka (PLDI 2009)"
14,3,14,"The semantics of progress in lock-based transactional memory - Rachid Guerraoui, Michal Kapalka (POPL 2009)"
14,17,3,"Fast RMWs for TSO: semantics and implementation - Bharghava Rajaram, Vijay Nagarajan, Susmit Sarkar, Marco Elver (PLDI 2013)"
